ticker,text,lang,in_reply_to,is_quote_status,retweeted_tweet,possibly_sensitive,favorited,date,quote_count,reply_count,favorite_count,view_count,view_count_state,retweet_count,is_translatable,edits_remaining,has_card,thumbnail_title,urls,hashtags,user,1_day_after
AAPL,$META Zuckerberg has said that they would be twice as profitable if it wasn't for $AAPL and $GOOGL limiting them: https://t.co/9LeKt54z1r,en,,False,,0.0,False,2024-10-05 14:01:00+00:00,64.0,339.0,2102.0,450456.0,EnabledWithCount,143.0,0.0,5.0,False,,[],[],,0
AAPL,"You can follow all market news, including for Apple, $AAPL, on https://t.co/NZ42mMeaYO

Set alerts for your favorite companies' news articles using our custom alerts: https://t.co/VvWEbsHeAy",en,1.8398378693992573e+18,False,,0.0,False,2024-09-28 04:40:04+00:00,0.0,9.0,39.0,86430.0,EnabledWithCount,0.0,0.0,5.0,False,,"[{'display_url': 'unusualwhales.com/news-feed', 'expanded_url': 'http://unusualwhales.com/news-feed', 'url': 'https://t.co/NZ42mMeaYO', 'indices': [63, 86]}, {'display_url': 'unusualwhales.com/custom-alerts', 'expanded_url': 'http://unusualwhales.com/custom-alerts', 'url': 'https://t.co/VvWEbsHeAy', 'indices': [167, 190]}]",[],,1
AAPL,JUST IN: Apple $AAPL is now reportedly no longer involved in discussions to invest in OpenAI or board discussions per WSJ,en,,False,,,False,2024-09-28 01:21:45+00:00,92.0,193.0,4566.0,713836.0,EnabledWithCount,403.0,0.0,5.0,False,,[],[],,1
AAPL,"Apple, $AAPL, is no longer a ‘growth engine’ for investors, NYU’s ‘Dean of Valuation’ has said.",en,,False,,,False,2024-09-26 11:57:00+00:00,6.0,86.0,413.0,140302.0,EnabledWithCount,26.0,0.0,5.0,False,,[],[],,1
AAPL,"Here are the hottest and most active bullish and bearish option chain activity for today:

$LVS $43 calls
$DLTR $60 puts
$AAPL $250 calls
$NVDA $116 calls
$AMZN $195 calls
$BABA $93 calls
$HD $420 calls
$TSLA $260 calls
$BA $185 calls

Link: https://t.co/s2le2hzhoz https://t.co/KxkYp80Emw",en,,False,,0.0,False,2024-09-23 18:53:35+00:00,1.0,27.0,92.0,78724.0,EnabledWithCount,19.0,0.0,5.0,False,,"[{'display_url': 'unusualwhales.com/hottest-contra…', 'expanded_url': 'https://unusualwhales.com/hottest-contracts', 'url': 'https://t.co/s2le2hzhoz', 'indices': [242, 265]}]",[],,1
AAPL,"Long-term investors should look away, but short-term traders should understand the risks and opportunities of trading around index rebalances. 

Here’s how $MSFT, $NVDA, and $AAPL could be affected by the S&amp;P’s September shake up. 
https://t.co/9Gm6kb4VfO",en,,False,,0.0,False,2024-09-22 18:00:00+00:00,1.0,0.0,1.0,2308.0,EnabledWithCount,0.0,0.0,5.0,True,What to Know About S&P’s September Shakeup,"[{'display_url': 'spr.ly/6019oX3YU', 'expanded_url': 'http://spr.ly/6019oX3YU', 'url': 'https://t.co/9Gm6kb4VfO', 'indices': [236, 259]}]",[],,0
AAPL,"At market close on Friday, billions of dollars will exchange hands as S&amp;P changes the way it skirts regulatory concentration limits for its 11 Select Sector indexes.  

Here’s how this could likely affect $XLK, $AAPL, $MSFT, and $NVDA. https://t.co/QRxkQqqPVB",en,,False,,0.0,False,2024-09-20 13:00:00+00:00,0.0,0.0,0.0,1455.0,EnabledWithCount,0.0,0.0,5.0,True,What to Know About S&P’s September Shakeup,"[{'display_url': 'spr.ly/6014orTfK', 'expanded_url': 'http://spr.ly/6014orTfK', 'url': 'https://t.co/QRxkQqqPVB', 'indices': [240, 263]}]",[],,0
AAPL,"The Apple, $AAPL, iPhone 16 is officially available in stores.",en,,False,,,False,2024-09-20 11:17:00+00:00,18.0,108.0,627.0,175903.0,EnabledWithCount,55.0,0.0,5.0,False,,[],[],,0
AAPL,"BREAKING: Apple, $AAPL, introduces California driver’s licenses and state IDs in Apple Wallet",en,,False,,,False,2024-09-19 17:35:25+00:00,104.0,227.0,3789.0,643849.0,EnabledWithCount,313.0,0.0,5.0,False,,[],[],,1
AAPL,"JUST IN: JPMorgan, $JPM, in talks with Apple, $AAPL, to take over credit card business from Goldman Sachs ,$GS.",en,,False,,,False,2024-09-17 16:50:12+00:00,14.0,63.0,1471.0,252295.0,EnabledWithCount,134.0,0.0,5.0,False,,[],[],,1
