ticker,text,lang,in_reply_to,is_quote_status,retweeted_tweet,possibly_sensitive,favorited,date,quote_count,reply_count,favorite_count,view_count,view_count_state,retweet_count,is_translatable,edits_remaining,has_card,thumbnail_title,urls,hashtags,user
AAPL,BREAKING: Apple $AAPL announces its new iPhone 16e starting at $599 https://t.co/vnH87UKW6c,en,,False,,0.0,False,2025-02-19 16:07:59+00:00,84,321,2814,632637.0,EnabledWithCount,176,False,5.0,False,,[],[],
AAPL,"BREAKING: George Soros (Soros Fund Management) updated his portfolio.

As soon as his filing comes in, we update his full positions on Unusual Whales.

Get it live and first! 

He added $W, $DOCN, $TLT, $AAPL, $RIVN, reduced $BABA $DBX $DISH $HYG https://t.co/wzWf4PSe10",en,,False,,0.0,False,2025-02-14 22:17:11+00:00,8,50,387,134905.0,EnabledWithCount,58,False,5.0,False,,[],[],
AAPL,"BREAKING: Apple, $AAPL, will restore TikTok to the US App Store, per Bloomberg",en,,False,,,False,2025-02-14 00:27:38+00:00,49,108,2547,413717.0,EnabledWithCount,195,False,5.0,False,,[],[],
AAPL,"Apple, $AAPL, will integrate Alibaba's, $BABA, AI into iPhones in China, chairman Joe Tsai has said.",en,,False,,,False,2025-02-13 14:43:52+00:00,12,174,644,160997.0,EnabledWithCount,63,False,5.0,False,,[],[],
AAPL,"Apple, $AAPL, is reportedly exploring both humanoid and non-humanoid robots for its future smart home ecosystem, per YF",en,,False,,,False,2025-02-12 23:26:34+00:00,12,98,556,151919.0,EnabledWithCount,66,False,5.0,False,,[],[],
AAPL,"JUST IN: Apple $AAPL has restarted their advertising on X/Twitter, per MacRumors.",en,,False,,,False,2025-02-12 22:42:00+00:00,27,169,4796,285091.0,EnabledWithCount,250,False,5.0,False,,[],[],
AAPL,"At close: $KO $AAPL $TSLA $NFLX $COST

To generate charts like this, plus get all options data in your discord, checkout https://t.co/lIDpnCxZai https://t.co/XfsnIDAhfJ",en,,False,,0.0,False,2025-02-11 21:00:21+00:00,2,21,111,87145.0,EnabledWithCount,19,False,5.0,False,,"[{'display_url': 'unusualwhales.com/discord-bot', 'expanded_url': 'http://unusualwhales.com/discord-bot', 'url': 'https://t.co/lIDpnCxZai', 'indices': [121, 144]}]",[],
AAPL,"Apple, $AAPL, partners with Alibaba, $BABA, to develop AI features for iPhone users in China",en,,False,,,False,2025-02-11 14:05:43+00:00,53,211,1836,481747.0,EnabledWithCount,196,False,5.0,False,,[],[],
AAPL,"China is considering probe into Apple's , $AAPL, policies and App Store fee",en,,False,,,False,2025-02-06 11:57:00+00:00,9,76,530,153049.0,EnabledWithCount,39,False,5.0,False,,[],[],
AAPL,"US District Court Judge Amit Mehta has denied Apple’s, $AAPL, emergency request to halt the Google, $GOOGL, Search monopoly trial that could dismantle their search that’s reportedly worth as much as $18 billion a year, per the Verge.",en,,False,,,False,2025-02-04 13:17:00+00:00,2,60,451,149271.0,EnabledWithCount,68,False,5.0,False,,[],[],
AAPL,"This week on The Morning Filter, @MStarMarkets shares 3 #StockPicks to buy before they bounce back. Plus, whether $MSFT, $AAPL, and $TSLA are worth investing in post-earnings. 

Tune in tomorrow at 8 a.m. CST on Morningstar's YouTube channel. https://t.co/iQ1xZ9L69p",en,,False,,0.0,False,2025-02-02 23:00:00+00:00,0,0,2,2834.0,EnabledWithCount,1,False,5.0,True,"3 Stocks to Buy Before They Bounce Back I February 3, 2025","[{'display_url': 'spr.ly/6019xWseR', 'expanded_url': 'http://spr.ly/6019xWseR', 'url': 'https://t.co/iQ1xZ9L69p', 'indices': [243, 266]}]",['StockPicks'],
AAPL,"Apple, $AAPL, has announced that China sales declined 11.1% during the quarter to $18.51 billion.

Mac revenue rose 15% to $8.98 billion and iPad revenue grew 15% to $8.08 billion. The company’s Mac division posted its best growth since the fourth fiscal quarter of 2022.",en,,False,,,False,2025-01-30 21:54:00+00:00,3,71,708,169934.0,EnabledWithCount,50,False,5.0,False,,[],[],
AAPL,"BREAKING: $AAPL, Apple Q1 25 Earnings:
- EPS: $2.40 (est $2.35)
- Revenue: $124.30B (est $124.1B)
- iPhone Revenue: $69.14B (est $71.04B)",en,,False,,,False,2025-01-30 21:37:28+00:00,18,102,1059,344388.0,EnabledWithCount,78,False,5.0,False,,[],[],
AAPL,"BREAKING: Apple, $AAPL, has been secretly working with SpaceX and T-Mobile, $TMUS, to add support for the Starlink network in its latest iPhone software, providing an alternative to the company’s in-house satellite-communication service, per Bloomberg",en,,False,,,False,2025-01-29 02:33:13+00:00,96,248,8447,604103.0,EnabledWithCount,686,False,5.0,False,,[],[],
AAPL,"BREAKING: Chinese AI platform DeepSeek has overtaken ChatGPT on Apple's, $AAPL, downloads rankings, per TC",en,,False,,,False,2025-01-27 01:24:51+00:00,242,558,12588,1383619.0,EnabledWithCount,1332,False,5.0,False,,[],[],
AAPL,"iPhones, $AAPL, with TikTok still installed are listing for up to $1 million on eBay, $EBAY. https://t.co/k7Xu1vd8NA",en,,False,,0.0,False,2025-01-23 22:37:00+00:00,176,452,4027,830749.0,EnabledWithCount,281,False,5.0,False,,[],[],
AAPL,"Mark Zuckerberg of $META is reportedly going to build earbuds with cameras to compete with Apple's, $AAPL, Airpods.",en,,False,,,False,2025-01-21 20:13:02+00:00,137,321,2307,453580.0,EnabledWithCount,120,False,5.0,False,,[],[],
AAPL,"BREAKING: Apple, , $AAPL, and Google, $GOOGL, remove TikTok from stores",en,,False,,,False,2025-01-19 04:15:30+00:00,51,145,3249,373639.0,EnabledWithCount,355,False,5.0,False,,[],[],
